תקרה 2022,שיעור 2022,שם יישוב,סמל היישוב
"171,000",12%,אבו סנאן,473
"196,080",12%,אבו קורינאת (יישוב),1342
"196,080",12%,אבו תלול,1375
"202,200",14%,אביבים,1115
"165,360",10%,אבירים,1220
"165,360",10%,אבן מנחם,1081
"134,760",7%,אבן שמואל,400
"196,080",12%,אבני איתן,4011
"196,080",12%,אבנת,3786
"246,120",20%,אבשלום,1311
"134,760",7%,אדורה,3759
"171,480",12%,אדמית,1068
"196,080",12%,אודם,4010
"246,120",20%,אוהד,1046
"196,080",12%,אום בטין,1358
"238,920",18%,אופקים,31
"196,080",12%,אור הגנוז,1294
"246,120",20%,אור הנר,67
"196,080",12%,אורטל,4013
"134,760",7%,אורים,403
"134,760",7%,אחוזם,821
"134,760",7%,אחיהוד,785
"246,120",20%,איבים,338
"134,760",7%,איילת השחר,77
"165,360",10%,אילון,294
"196,080",12%,אילות,1126
"134,760",7%,איתן,37
"196,080",12%,אל -רום,4003
"196,080",12%,אל סייד,1359
"196,080",12%,אלומות,330
"202,200",14%,אלוני הבשן,4017
"196,080",12%,אלי-עד,4002
"196,080",12%,אליפז,1248
"134,760",7%,אליפלט,730
"134,760",7%,אלמגור,1125
"165,360",10%,אלקוש,603
"134,760",7%,אמירים,1064
"134,760",7%,אמנון,1253
"134,760",7%,אמציה,23
"134,760",7%,אניעם,4012
"196,080",12%,אספר,3754
"196,080",12%,אפיק,4301
"196,080",12%,אפיקים,176
"196,080",12%,ארגמן,3598
"246,120",20%,ארז,714
"134,760",7%,אשבול,71
"134,760",7%,אשבל,1276
"196,080",12%,אשדות יעקב (איחוד),199
"196,080",12%,אשדות יעקב (מאוחד),188
"134,760",7%,אשחר,1188
"134,760",7%,אשכולות,3722
"165,360",10%,אשל הנשיא,2021
"134,760",7%,אשלים,1152
"134,760",7%,אשרת,1256
"196,080",12%,באר אורה,21
"196,080",12%,באר מילכה,1278
"246,120",20%,בארי,399
"134,760",7%,בוסתן הגליל,559
"196,080",12%,בוקעאתא,4001
"134,760",7%,בטחה,762
"196,080",12%,ביר הדאג',1348
"134,760",7%,בירייה,368
"238,920",14%,בית ג'ן,480
"134,760",7%,בית הגדי,723
"196,080",12%,בית הלל,322
"134,760",7%,בית העמק,572
"196,080",12%,בית הערבה,3645
"196,080",12%,בית זרע,143
"196,080",12%,בית יוסף,265
"134,760",7%,בית קמה,598
"196,080",12%,בית שאן,9200
"165,360",10%,בן עמי,712
"134,760",7%,בני יהודה,4015
"246,120",20%,בני נצרים,1363
"171,000",12%,בענה,483
"171,480",12%,בצת,589
"196,080",12%,בר יוחאי,1191
"246,120",20%,ברור חיל,428
"134,760",7%,ברוש,2060
"202,200",14%,ברעם,667
"171,000",12%,ג'דיידה-מכר,1292
"171,000",12%,ג'ולס,485
"238,920",14%,ג'ש (גוש חלב),487
"134,760",7%,גבולות,352
"246,120",20%,גבים,424
"134,760",7%,גבעולים,2014
"134,760",7%,גבעות בר,1344
"134,760",7%,גבעת יואב,4021
"246,120",20%,גברעם,342
"134,760",7%,גדות,35
"134,760",7%,גונן,852
"165,360",10%,גורן,755
"165,360",10%,גורנות הגליל,1219
"134,760",7%,גילון,1204
"134,760",7%,גילת,736
"134,760",7%,גינוסר,262
"134,760",7%,גיתה,1206
"165,360",10%,געתון,463
"196,080",12%,גרופית,1129
"134,760",7%,גשור,4022
"196,080",12%,גשר,305
"165,360",10%,גשר הזיו,574
"134,760",7%,דבירה,849
"196,080",12%,דגניה א',62
"196,080",12%,דגניה ב',79
"202,200",14%,"דוב""ב",1067
"246,120",20%,דורות,336
"171,000",12%,דיר אל-אסד,490
"196,080",12%,דייר חנא,492
"196,080",16%,דימונה,2200
"202,200",14%,דישון,2063
"196,080",12%,דלתון,431
"196,080",12%,דן,303
"202,200",14%,דפנה,302
"246,120",20%,דקל,1241
"196,080",12%,דריג'את,1349
"196,080",12%,האון,702
"196,080",12%,הגושרים,356
"165,360",10%,הילה,1208
"134,760",7%,הר עמשא,1261
"134,760",7%,הררית,1203
"246,120",20%,זיקים,584
"246,120",20%,זמרת,1065
"134,760",7%,זרועה,2064
"165,360",10%,חגי,3764
"134,760",7%,נס-חד,4026
"246,120",20%,חולית,1239
"134,760",7%,חולתה,253
"165,360",10%,חוסן,662
"196,080",12%,חוסנייה,1332
"134,760",7%,חוקוק,374
"238,920",18%,חורה,1303
"238,920",14%,חורפיש,496
"134,760",7%,חזון,1047
"134,760",7%,חלוץ,1272
"134,760",7%,חלץ,820
"196,080",12%,חמדיה,343
"196,080",12%,חמדת,3646
"171,480",12%,חניתה,280
"196,080",12%,חספין,4005
"196,080",12%,חצבה,13
"171,000",12%,חצור הגלילית,2034
"165,360",10%,חצרים,397
"134,760",7%,חרשים,1209
"171,000",12%,טבריה,6700
"196,080",12%,טובא-זנגרייה,962
"196,080",12%,טירת צבי,268
"134,760",7%,טל-אל,1181
"134,760",7%,טללים,1177
"171,000",12%,טמרה,8900
"134,760",7%,טנא,3743
"134,760",7%,טפחות,1214
"171,000",12%,יאנוחג'ת-,1295
"246,120",20%,יבול,1232
"246,120",20%,יד מרדכי,358
"196,080",12%,יהל,1158
"202,200",14%,יובל,2009
"134,760",7%,יובלים,1226
"196,080",12%,יונתן,4007
"165,360",10%,יושיביה,803
"134,760",7%,יחיעם,409
"196,080",12%,יטבתה,866
"246,120",20%,יכיני,811
"196,080",12%,יסוד המעלה,29
"134,760",7%,יסעור,575
"134,760",7%,יעד,1138
"202,200",14%,יערה,795
"196,080",12%,יפית,3566
"202,200",14%,יפתח,453
"202,200",14%,יראון,623
"196,080",12%,ירדנה,2026
"196,080",16%,ירוחם,831
"171,000",12%,ירכא,502
"246,120",20%,ישע,916
"246,120",20%,יתד,1227
"171,000",12%,כאבול,504
"165,360",10%,כברי,576
"196,080",12%,כדיתה,1338
"134,760",7%,כורזים,1252
"134,760",7%,כחל,1210
"196,080",12%,כחלה,1367
"246,120",20%,כיסופים,840
"134,760",7%,כישור,1153
"165,360",10%,כליל,1183
"134,760",7%,כלנית,1229
"196,080",12%,כמאנה,1331
"196,080",12%,כמהין,1291
"134,760",7%,כמון,1201
"134,760",7%,כנף,4028
"196,080",12%,כנרת (מושבה),63
"196,080",12%,כנרת (קבוצה),57
"238,920",18%,כסיפה,1059
"238,920",14%,כסרא-סמיע,1296
"196,080",12%,כפר בלום,357
"196,080",12%,כפר גלעדי,76
"134,760",7%,כפר הנשיא,443
"196,080",12%,כפר חושן,609
"134,760",7%,כפר חנניה,1297
"196,080",12%,כפר חרוב,4004
"171,000",12%,כפר יאסיף,507
"246,120",20%,כפר מימון,1095
"134,760",7%,כפר מסריק,297
"196,080",12%,כפר סאלד,345
"246,120",20%,כפר עזה,845
"171,480",12%,כפר ראש הנקרה,579
"171,480",12%,כפר רוזנואלד(זרעית),1130
"196,080",12%,כפר רופין,295
"134,760",7%,כפר שמאי,605
"134,760",7%,כרכום,1285
"196,080",12%,כרם בן זמרה,664
"246,120",20%,כרם שלום,1085
"134,760",7%,כרמיאל,1139
"246,120",20%,כרמייה,768
"134,760",7%,כרמים,1198
"134,760",7%,כרמל,3656
"134,760",7%,לבון,1207
"134,760",7%,לבנים,1230
"134,760",7%,להב,2023
"134,760",7%,להבות הבשן,380
"134,760",7%,לוחמי הגיטאות,595
"134,760",7%,לוטם,1171
"196,080",12%,לוטן,1255
"165,360",10%,לימן,674
"134,760",7%,לכיש,24
"134,760",7%,לפידות,1173
"238,920",18%,לקיה,1060
"196,080",12%,מבוא חמה,4204
"134,760",7%,מבועים,1080
"246,120",20%,מבטחים,829
"246,120",20%,מבקיעים,573
"171,000",12%,מג'ד אל-כרום,516
"238,920",20%,מג'דל שמס,4201
"196,080",12%,מגאר,481
"134,760",7%,מגדל,65
"246,120",20%,מגן,695
"134,760",7%,מדרשת בן גוריון,1140
"196,080",12%,מולדה,1360
"134,760",7%,מורן,1163
"171,000",12%,מזרעה,517
"196,080",12%,מחולה,3599
"134,760",7%,מחנה טלי,1418
"165,360",10%,מחנה יוכבד,1416
"134,760",7%,מחנה יפה,1415
"134,760",7%,מחנה יתיר,1196
"134,760",7%,מחניים,308
"202,200",14%,מטולה,43
"196,080",12%,מיצר,4019
"196,080",12%,מירון,607
"165,360",13%,מיתר,1268
"196,080",12%,מכחול,1343
"134,760",7%,מכמנים,1202
"165,360",10%,מלילות,2044
"202,200",14%,מלכייה,596
"134,760",7%,מנוף,1174
"165,360",10%,מנות,1205
"196,080",12%,מנחמיה,48
"202,200",14%,מנרה,347
"196,080",12%,מסדה,263
"134,760",7%,מסלול,748
"238,920",14%,מסעדה,4203
"134,760",7%,מעגלים,1082
"196,080",12%,מעגן,678
"196,080",12%,מעוז חיים,272
"165,360",10%,מעון,3657
"165,360",10%,מעונה,570
"202,200",14%,מעיין ברוך,416
"165,360",10%,מעיליא,518
"134,760",7%,מעלה גמלא,4008
"238,920",14%,מעלות-תרשיחא,1063
"246,120",20%,מפלסים,668
"134,760",7%,מצדות יהודה,3745
"165,360",10%,מצובה,325
"238,920",18%,מצפה רמון,99
"134,760",7%,מצפה שלם,3610
"202,200",14%,מרגליות,843
"196,080",12%,מרום גולן,4101
"196,080",12%,מרחב עם,1340
"165,360",10%,משאבי שדה,421
"202,200",14%,משגב עם,378
"196,080",12%,משואה,3605
"196,080",12%,משכיות,3785
"134,760",7%,משמר הירדן,732
"134,760",7%,משמר הנגב,395
"202,200",14%,מתת,1184
"134,760",7%,נאות גולן,4551
"196,080",12%,נאות הכיכר,1124
"196,080",12%,נאות מרדכי,408
"196,080",12%,נאות סמדר,1197
"134,760",7%,נבטים,396
"165,360",10%,נגוהות,3724
"208,320",12%,נהריה,9100
"196,080",12%,נוב,4304
"246,120",20%,נווה,1366
"196,080",12%,נווה אור,590
"196,080",12%,"נווה אטי""ב",4303
"196,080",12%,נווה איתן,296
"134,760",7%,נווה זוהר,1057
"165,360",10%,נווה זיו,1314
"196,080",12%,נווה חריף,1279
"134,760",7%,נועם,15
"246,120",20%,נחל עוז,844
"196,080",12%,נחף,522
"171,480",12%,נטועה,1147
"196,080",12%,נטור,4014
"196,080",12%,ניצנה (קהילת חינוך),1195
"196,080",12%,ניצני סיני,1280
"246,120",20%,ניר יצחק,402
"134,760",7%,ניר משה,2047
"246,120",20%,ניר עוז,69
"246,120",20%,ניר עם,348
"134,760",7%,ניר עקיבא,2048
"246,120",20%,נירים,602
"196,080",12%,נמרוד,4035
"134,760",7%,נס עמים,1143
"196,080",12%,"נעמ""ה",3713
"246,120",20%,נתיב העשרה,1242
"134,760",7%,נתיב השיירה,792
"208,320",16%,נתיבות,246
"171,000",12%,סאג'ור,525
"196,080",12%,סאסא,578
"165,360",10%,סוסיה,3756
"246,120",20%,סופה,1238
"171,000",12%,סח'נין,7500
"196,080",12%,סלמה,1245
"196,080",12%,סמר,1156
"246,120",20%,סעד,419
"165,360",10%,סער,454
"196,080",12%,ספיר,1176
"238,920",20%,ע'ג'ר,4501
"196,080",12%,עבדון,892
"165,360",10%,עברון,376
"196,080",12%,עזוז,328
"196,080",12%,עידן,1175
"165,360",10%,עין אל-אסד,546
"134,760",7%,עין גב,273
"196,080",12%,עין גדי,2042
"246,120",20%,עין הבשור,1240
"134,760",7%,עין המפרץ,289
"196,080",12%,"עין הנצי""ב",383
"246,120",20%,עין השלושה,676
"196,080",12%,עין זיוון,4503
"196,080",12%,עין חצבה,1053
"196,080",12%,עין יהב,806
"165,360",10%,עין יעקב,813
"238,920",14%,עין קנייא,4502
"196,080",12%,עין תמר,1251
"196,080",12%,עיר אובות,1187
"171,000",12%,עכו,7600
"246,120",20%,עלומים,1146
"196,080",12%,עלמה,688
"134,760",7%,עמוקה,1212
"134,760",7%,עמיעד,385
"246,120",20%,עמיעוז,318
"196,080",12%,עמיר,319
"134,760",7%,עמקה,708
"134,760",7%,עצמון שגב,917
"171,000",12%,עראבה,531
"202,200",14%,עראמשה,1246
"196,080",12%,ערב אל נעים,1335
"196,080",16%,ערד,2560
"238,920",18%,ערערה-בנגב,1192
"165,360",10%,עתניאל,3748
"196,080",12%,פארן,1151
"134,760",7%,פדויים,750
"134,760",7%,פורייה  -כפר עבודה,1104
"134,760",7%,פורייה  -נווה עובד,1105
"134,760",7%,פורייה עילית,1313
"134,760",7%,פטיש,749
"134,760",7%,פלך,1185
"196,080",12%,פני חבר,3723
"238,920",14%,פסוטה,535
"134,760",7%,"פעמי תש""ז",2059
"196,080",12%,פצאל,3615
"238,920",14%,פקיעין (בוקייעה),536
"196,080",12%,פקיעין חדשה,281
"134,760",7%,פרוד,599
"246,120",20%,פרי גן,1231
"165,360",10%,צאלים,413
"134,760",7%,צביה,1180
"196,080",12%,צבעון,1213
"246,120",20%,צוחר,1136
"196,080",12%,צופר,1150
"196,080",12%,צוקים,1262
"165,360",10%,צוריאל,774
"134,760",7%,צורית,1221
"196,080",12%,צפת,8000
"134,760",7%,קדמת צבי,4025
"134,760",7%,קדרים,1211
"134,760",7%,קורנית,1179
"196,080",12%,קטורה,1052
"134,760",7%,קלחים,414
"165,360",10%,קליה,3601
"165,360",10%,קלע,4024
"196,080",12%,קצר א-סר,1347
"196,080",12%,קצרין,4100
"196,080",12%,קריית ארבע,3611
"238,920",20%,קריית שמונה,2800
"196,080",12%,קשת,4006
"171,000",12%,ראמה,543
"196,080",12%,ראס אל-עין,1334
"134,760",7%,ראש פינה,26
"196,080",12%,רביבים,354
"134,760",7%,רביד,1225
"134,760",7%,רגבה,390
"208,320",16%,רהט,1161
"134,760",7%,רוחמה,362
"196,080",12%,רועי,3619
"196,080",12%,רותם,3782
"196,080",12%,רחוב,854
"196,080",12%,ריחאנייה,540
"134,760",7%,רמות,4702
"196,080",12%,רמות נפתלי,372
"196,080",12%,רמת מגשימים,4701
"134,760",7%,רנן,789
"246,120",20%,רעים,713
"134,760",7%,רקפת,1228
"134,760",7%,רתמים,1260
"196,080",12%,שאר ישוב,324
"134,760",7%,שבי ציון,282
"238,920",18%,שגב-שלום,1286
"196,080",12%,שדה אליהו,304
"196,080",12%,שדה אליעזר,861
"196,080",12%,שדה בוקר,885
"134,760",7%,שדה דוד,36
"196,080",12%,שדה נחום,259
"196,080",12%,שדה נחמיה,329
"246,120",20%,שדה ניצן,1058
"134,760",7%,שדה צבי,2049
"246,120",20%,שדי אברהם,1223
"196,080",12%,שדי תרומות,2057
"196,080",12%,שדמות מחולה,3578
"246,120",20%,שדרות,1031
"246,120",20%,שובה,761
"134,760",7%,שובל,394
"171,480",12%,שומרה,614
"196,080",12%,שומרייה,1265
"246,120",20%,שוקדה,415
"134,760",7%,שורשים,1235
"134,760",7%,שזור,527
"165,360",10%,שחרות,1266
"134,760",7%,שיבולים,865
"165,360",10%,שיטים,1267
"196,080",12%,שייח' דנון,658
"134,760",7%,שכניה,1160
"134,760",7%,שלווה,873
"134,760",7%,שלווה במדבר,1373
"238,920",20%,שלומי,812
"246,120",20%,שלומית,1364
"196,080",12%,שמיר,366
"134,760",7%,שמעה,3784
"134,760",7%,שמרת,432
"134,760",7%,שני,1287
"196,080",12%,שניר,1132
"196,080",12%,שעב,538
"134,760",7%,שעל,4009
"196,080",12%,שער הגולן,264
"134,760",7%,שפר,846
"134,760",7%,שקף,1233
"134,760",7%,שרשרת,398
"202,200",14%,שתולה,1045
"134,760",7%,תאשור,2062
"134,760",7%,תדהר,2061
"134,760",7%,תובל,1172
"246,120",20%,תושייה,1083
"196,080",12%,תל קציר,719
"238,920",18%,תל שבע,1054
"196,080",12%,תל תאומים,1283
"165,360",10%,תלם,3719
"246,120",20%,תלמי אליהו,1051
"134,760",7%,"תלמי ביל""ו",2050
"246,120",20%,תלמי יוסף,1237
"134,760",7%,תלמים,814
"196,080",12%,תפרח,709
"246,120",20%,תקומה,665
"196,080",12%,תרבין א-צאנע (יישוב),1346
"134,760",7%,אליאב,1365
"134,760",7%,בני דקלים,1368
"134,760",7%,נטע,1369
"134,760",7%,סנסנה,3777
"134,760",7%,רוח מדבר,1341
"134,760",7%,כרמי קטיף,1374
"134,760",7%,שבי דרום,1377
"134,760",7%,שיזף,1378
